,title,session-type,themes,categories,gender
Heather Gough,JPMorgan Chase: Implementing our Tableau Blueprint Skill Belt Program,Session,Data Culture,Financial Services,female
Justin Craycraft,Leveraging the Hyper API to build sophisticated data models,Session,Embedded Analytics & Tableau Community,No categories,male
Jaclyn Rajan,The Vanguard Group: 6σ + Tableau = ∞ solutions,Session,Data and Analytics Skills,No categories,female
Jeffrey Witt,The Vanguard Group: 6σ + Tableau = ∞ solutions,Session,Data and Analytics Skills,No categories,male
Joel Hutchison,Understand your Tableau Assets with the Metadata API,Hands-on Training,Embedded Analytics & Tableau Community,No categories,male
Vlad Usatin,Tableau Server Security in Depth: Hands-on,Hands-on Training,Tableau at Scale,No categories,male
Tracy Roth,BlueCross BlueShield of AZ: Enabling Healthcare Strategy with a Cosmic User Experience,Session,Data Culture,Healthcare,mostly_female
Justin Hinckfoot,BlueCross BlueShield of AZ: Enabling Healthcare Strategy with a Cosmic User Experience,Session,Data Culture,Healthcare,male
Dakota Bagwell,State of Indiana: How Tableau Prep Saved Our End-user Experience,Session,Data Management,Public Sector,mostly_male
Daniel Grady,Make your Data Sparkle with Tableau Prep,Hands-on Training,Data Management,No categories,male
Kyle Santamaria,Make your Data Sparkle with Tableau Prep,Hands-on Training,Data Management,No categories,mostly_female
Mrinal Daryani,Speaking the Language of Data,Session,Smart Analytics,No categories,female
G. Marc Turner,Texas State University: Tips and Tricks for Tracking People Over Time with Tableau Prep Builder,Session,Data Management,Education,unknown
Michael Cox,Tableau Blueprint: The Hammer and Nail Edition,Session,Data Culture,No categories,male
Michael Kovner,You Did WHAT with the Extensions API?,Session,Embedded Analytics & Tableau Community,No categories,male
Michael Wansley,You Did WHAT with the Extensions API?,Session,Embedded Analytics & Tableau Community,No categories,male
Josh Weyburne,The Forecast Looks Bright: Tableau Forecasting,Session,Data and Analytics Skills,No categories,male
Alex Sanginov,ServiceNow: The Only Analytics Strategy Your Company Needs,Session,Dashboard and Design & Data Culture,No categories,male
Satish Mallavolu,ServiceNow: The Only Analytics Strategy Your Company Needs,Session,Dashboard and Design & Data Culture,No categories,mostly_male
Vikram Bandarupalli,AWS Cloud Formation for Server Deployment,Session,Tableau at Scale,No categories,male
Mehmet Vanli,Integration for Advanced Analytics,Session,Data and Analytics Skills,No categories,male
Ashley Mitchell,Introduction to Sets,Session,Data and Analytics Skills,No categories,mostly_female
Gordon Roland,"KPMG: Analyze, Visualize, Comply. Analytics for Managing Risk",Session,Data Culture,Finance,male
Ranjit Sandhu,Equinix’s Enterprise Data & Analytics Platform Transformation Journey,Session,Data and Analytics Skills,No categories,mostly_male
Deepak Kler,Equinix: From Data to Insights using Ask Data: Empowering Users with NLP,Session,Smart Analytics,No categories,mostly_male
Jyotirmayi Malapaka,Equinix: From Data to Insights using Ask Data: Empowering Users with NLP,Session,Smart Analytics,No categories,unknown
Alan Doerhoefer,Deployment Considerations for Tableau Server,Session,Tableau at Scale,No categories,male
Stephanie Potter,Deployment Considerations for Tableau Server,Session,Tableau at Scale,No categories,female
Darren McGurran,Introduction to Calcs: What is a Calculation?,Hands-on Training,Data and Analytics Skills,No categories,male
Laura Zachary,Introduction to Calcs: What is a Calculation?,Hands-on Training,Data and Analytics Skills,No categories,female
Jim Webb,Best Practices for Updating your Analytics Strategy,Session,Data Culture,No categories,male
Alicja Niewczas,Unlock New Sources with Tableau Web Data Connectors,Hands-on Training,Embedded Analytics & Tableau Community,No categories,female
Vidya Setlur,"Natural language, Ask Data and other Tableau stories",Session,Smart Analytics,No categories,mostly_female
Prakash Kava,Eating One's Dog Food: Using Telemetry at Scale and Understanding User Intent,Session,Smart Analytics,No categories,mostly_male
Samuel Osborn,Tableau Prep Conductor: Configuring and Administering the new Data Management add-on,Session,Data Management,No categories,male
Steven McDonald,Tableau Prep Conductor: Configuring and Administering the new Data Management add-on,Session,Data Management,No categories,male
Helena Niu,General Dynamics: I Want a Piece of That,Session,Data Culture,Public Sector,female
Jie Deng,What’s New with the SAP HANA Connector,Session,Data Management,No categories,andy
Evan Rademacher,What’s New with the SAP HANA Connector,Session,Data Management,No categories,male
Aaron Dane,How Expedia Evolved from On-Premise to the Cloud,Session,No theme,No categories,male
David Smith,How Expedia Evolved from On-Premise to the Cloud,Session,No theme,No categories,male
Matt Snyder,StriveTogether: Using Data to Build Communities for Social Impact,Session,Tableau Community & Dashboard and Design,Public Sector,male
Debbie Lieberman,StriveTogether: Using Data to Build Communities for Social Impact,Session,Tableau Community & Dashboard and Design,Public Sector,female
Kristin McManus,HotelTonight: How to get Stakeholders in Bed with your Data,Session,Data Culture,Sales,female
Abhishek Singh,Tableau OKTA Integration,Session,Tableau at Scale,No categories,unknown
Ruben Tip,Blending Versus (cross)-Database Joins,Session,Data Management,No categories,male
Henk Koelewijn,Blending Versus (cross)-Database Joins,Session,Data Management,No categories,male
Hermon Mike,Managing and Leveraging Data with Tableau Online,Session,Data Management,No categories,unknown
Jason Huffman,Managing and Leveraging Data with Tableau Online,Session,Data Management,No categories,male
Parmanand Jagerdeo,FINRA: Auditing using Tableau,Session,Data and Analytics Skills,No categories,unknown
Stephanie Rutter,FINRA: Auditing using Tableau,Session,Data and Analytics Skills,No categories,female
Anthony Ordner,Using Data as a Trusted Partner with Vertica and Tableau,Session,Data Culture & Data Management,No categories,male
Raul Persa,Performance Best Practices for Hyper Extracts,Session,Data Management,No categories,male
Jan Finis,Hyper API: Using Hyper for Turbocharged Extract Creation,Session,Smart Analytics & Embedded Analytics,No categories,male
Kent Marten,All Over the Map! Level Up your Spatial Vizzes,Session,Data and Analytics Skills,No categories,male
Andrew Kritzer,From License to Landing,Session,Tableau at Scale,No categories,male
Kyle Gupton,Create and Publish Accessible Dashboards in Tableau,Session,Dashboard and Design,Public Sector,mostly_female
Irwin Dolobowsky,Automation and Integration APIs,Session,Embedded Analytics & Tableau Community,No categories,male
Russell Hay,Automation and Integration APIs,Session,Embedded Analytics & Tableau Community,No categories,male
James Lenihan,Revenue and Pricing Analytics,Session,Data and Analytics Skills,Finance,male
Larry Clark,Tableau + Python = ❤,Hands-on Training,Smart Analytics,No categories,male
Sagar Kapoor,Is Your Tableau Deployment Creating Value?,Session,Data Culture,No categories,male
Sudharshan Seerapu,Is Your Tableau Deployment Creating Value?,Session,Data Culture,No categories,unknown
Nathan Mannheimer,Even More Data Science Applications in Tableau,Session,Smart Analytics,No categories,male
Jon Daniels,A CFO’s Playbook for Running on Data,Session,Smart Analytics,No categories,male
Ashley Howard,The Beautiful Science of Data Visualization,Session,Data and Analytics Skills,No categories,mostly_female
Tobias Muehlbauer,The Research Behind the Hyper Database,Session,Data Management,No categories,male
Tara Morton,Making Friends with Stats,Session,Data and Analytics Skills,No categories,female
Jacob Vann,Lending Tree: Enabling Near Real Time Alerts for Digital Marketing and Product Analytics,Session,Embedded Analytics,Financial Services,male
Abby Kuang,Lending Tree: Enabling Near Real Time Alerts for Digital Marketing and Product Analytics,Session,Embedded Analytics,Financial Services,female
Andrea Tatum,"Practically Perfect: A Practical Guide to Guided Analytics, Part 2",Hands-on Training,Dashboard and Design,No categories,female
Sarah Bohannon,"Practically Perfect: A Practical Guide to Guided Analytics, Part 2",Hands-on Training,Dashboard and Design,No categories,female
Mike Madigan,Meeting your Users Half Way: Exporting and Tableau,Session,Data Culture,No categories,male
Jeremy Blaney,Visualize a Better World with Data and Analytics,Session,Tableau Community,No categories,male
Ruhaab Markas,Ask Data: The Admins Complete Guide,Hands-on Training,Smart Analytics,No categories,unknown
Samantha  Kwok,Introduction to Ask Data,Session,Smart Analytics,No categories,female
Josh Belliveau,Think Outside the Box(plot): Basic Statistics in Tableau,Hands-on Training,Data and Analytics Skills,No categories,male
Madeline Lee,R…You Ready for Python?,Hands-on Training,Smart Analytics,No categories,female
Jeff Black,Prep Your Data,Session,Data Management,No categories,male
Jeremy Walsh,Prep Your Data,Session,Data Management,No categories,male
William Watkins,Leveraging Explain Data,Session,Data and Analytics Skills,No categories,male
Nick Beaton,Server CPR,Hands-on Training,Tableau at Scale,No categories,male
Erin Waldron,Data Dozen: Practical Dashboard Design that Creates Impact that Transforms,Session,Dashboard and Design,No categories,mostly_female
Rachel Bowes,From 'Hello World' to Saving the World: Advanced Analytics with Python,Session,Smart Analytics,No categories,female
Richard Tibbetts,Making Business More Bayesian,Session,Data and Analytics Skills,No categories,male
Konstantin Greger,"Machine Learning, Explainable AI, and Tableau",Session,Smart Analytics,No categories,male
Jim Sun,How to Excel with Tableau,Session,Data and Analytics Skills,No categories,male
Yun Zhou,How to Excel with Tableau,Session,Data and Analytics Skills,No categories,andy
Jonathan Mason,Daimler Trucks North America: Building a Community that Drives Intelligence,Session,No theme,No categories,male
Luke Stanke,Zen Master: 3...2...1...GO! Two-Minute Tableau Tips and Tricks,Session,Dashboard and Design & Data and Analytics Skills,No categories,male
Jeffrey Shaffer,Zen Master: 3...2...1...GO! Two-Minute Tableau Tips and Tricks,Session,Dashboard and Design & Data and Analytics Skills,No categories,male
Ashley Monson,Giving Back With Data,Session,Data Management,No categories,mostly_female
Christine Xu,Best Practices for Flow Performance in Data Prep,Session,Data Management,No categories,female
Rapinder Jawanda,Best Practices for Flow Performance in Data Prep,Session,Data Management,No categories,unknown
Seanna Miller,"Data Everywhere, Tableau for Everyone: Now How to Drive Adoption at Scale",Session,Data Culture,No categories,unknown
Chad Duffield,"Data Everywhere, Tableau for Everyone: Now How to Drive Adoption at Scale",Session,Data Culture,No categories,male
Esther Aller,Calculations Survival Guide,Session,Data and Analytics Skills,No categories,female
James Ryan,Calculations Survival Guide,Session,Data and Analytics Skills,No categories,male
Christopher Gardner,"University of Michigan: Holistic Reporting of a University, a $10 billion Business, and a Small City",Session,Data Culture & Tableau at Scale,Education,male
Matthew Pickus,"University of Michigan: Holistic Reporting of a University, a $10 billion Business, and a Small City",Session,Data Culture & Tableau at Scale,Education,male
Michael Foree,Capital One: Speedy Server Deployment on AWS,Session,Tableau at Scale,Financial Services,male
Anoop Kunjuramanpillai,Capital One: Speedy Server Deployment on AWS,Session,Tableau at Scale,Financial Services,unknown
Merlijn Buit,"Zen Master: The What, Why and How’s of Extensions for Tableau",Session,Embedded Analytics,No categories,mostly_male
Harveen   Kathuria,Tableau Tips for Beginners,Session,Data and Analytics Skills,No categories,unknown
Kelly Bellinghausen,Tableau Tips for Beginners,Session,Data and Analytics Skills,No categories,mostly_female
Luiz Oliveira,White-labeling Dashboards,Hands-on Training,Dashboard and Design,No categories,unknown
Stephen Price,White-labeling Dashboards,Hands-on Training,Dashboard and Design,No categories,male
Kelsey Perkins,"IBM: Using Tableau to Foster Agile, Data-Driven Culture Change",Session,Data and Analytics Skills & Data Culture,Marketing & Sales,mostly_female
Scott Larkin,New Hanover Township School: Using Small Data to Drive Large Decisions in Education,Session,Data and Analytics Skills,Education,male
Xavier Reid,Developer Deep Dive: Building your First Extension,Session,Embedded Analytics & Tableau Community,No categories,male
Ashwin Sekar,Developer Deep Dive: Building your First Extension,Session,Embedded Analytics & Tableau Community,No categories,unknown
Ross Bunker,LOD is the Key,Session,Data and Analytics Skills,No categories,male
Susan Franke,Progressive Insurance: Roar! Creating Fierce Tableau Tiger Teams to Infiltrate Your Company’s Analytics,Session,Data Culture,No categories,female
Marian Fairman,Progressive Insurance: Roar! Creating Fierce Tableau Tiger Teams to Infiltrate Your Company’s Analytics,Session,Data Culture,No categories,male
Pierce Young,Getting the Most Out of Tableau on Google Cloud,Session,Tableau at Scale,No categories,male
Jefferson McMillan - Wilhoit,Lake County Health Dept: Tableau Prep Builder and Conductor at Enterprise Scale,Session,Data Management & Data Culture,Healthcare & Public Sector,male
Greg Gajauskas,Lake County Health Dept: Tableau Prep Builder and Conductor at Enterprise Scale,Session,Data Management & Data Culture,Healthcare & Public Sector,male
Richard Wesley,Time Pieces: The Temporal Analytics Jigsaw,Session,Data and Analytics Skills,No categories,male
Jim Gregory,Humana: How We Created a Silver Bullet Dashboard and Improved Compliance and Efficiency,Session,Embedded Analytics,Healthcare,male
Tavia Hopfensperger,Humana: How We Created a Silver Bullet Dashboard and Improved Compliance and Efficiency,Session,Embedded Analytics,Healthcare,female
Nigel Stone,Defense Health Agency: Leadership in Synchronized Healthcare Analytics across All Military Operations,Session,Data Culture,Public Sector,male
Jeffrey Barnes,Defense Health Agency: Leadership in Synchronized Healthcare Analytics across All Military Operations,Session,Data Culture,Public Sector,male
Cameron Ford,"Calculation Methods: What, When, Why?",Hands-on Training,Data and Analytics Skills,No categories,mostly_male
Tyler Shapiro,"Calculation Methods: What, When, Why?",Hands-on Training,Data and Analytics Skills,No categories,mostly_male
Selchuk Emin,"When Sets Rock, When Parameters Roll",Session,Data and Analytics Skills,No categories,unknown
Ryan Jimenez,Mad Maps: Advanced Mapping in Tableau,Hands-on Training,Data and Analytics Skills,No categories,mostly_male
Zach Morris,Mad Maps: Advanced Mapping in Tableau,Hands-on Training,Data and Analytics Skills,No categories,male
Jill Wooster,Fragomen: Secure Real Time Data in our Customer Portal with Embedded Analytics,Session,Embedded Analytics,No categories,female
Kevin McConnell,Fragomen: Secure Real Time Data in our Customer Portal with Embedded Analytics,Session,Embedded Analytics,No categories,male
Michael Cisneros,Zen Master: Beyond Design—Secrets for Creating Engaging and Effective Information Experiences,Session,Dashboard and Design,No categories,male
Lilach Manheim,Zen Master: Beyond Design—Secrets for Creating Engaging and Effective Information Experiences,Session,Dashboard and Design,No categories,female
Altin Ilirjani,USAID Global Health: The Implementation of a Data Revolution,Session,Data Culture,Public Sector,male
Leeza Kondos,USAID Global Health: The Implementation of a Data Revolution,Session,Data Culture,Public Sector,unknown
Evan Moh,Stanford Health Care: Advancing Patient Experience with Tableau,Session,Dashboard and Design,Healthcare,male
Joshua Frost,Stanford Health Care: Advancing Patient Experience with Tableau,Session,Dashboard and Design,Healthcare,male
Hailong Wen,Ali Cloud Platform: Another Great Choice for Tableau Deployment on Cloud,Session,Tableau at Scale,IT and Product Manager,unknown
Roman Usatin,"Get on it, Stat: Statistical Analysis Skills in Tableau",Hands-on Training,Data and Analytics Skills,No categories,male
Linh Tran,"Get on it, Stat: Statistical Analysis Skills in Tableau",Hands-on Training,Data and Analytics Skills,No categories,andy
Kevin Mason,Creating and Expanding Self-Service Analytics using Web Authoring,Session,Tableau at Scale,No categories,male
Anton Grinevskij,Data Prep: Advanced Prep Features,Session,Data Management,No categories,male
Zachary Wright,Table Calcs for the Advanced Analyst,Hands-on Training,Smart Analytics,No categories,male
Chris Tolley,Table Calcs for the Advanced Analyst,Hands-on Training,Smart Analytics,No categories,mostly_male
Mike Hetrick,Using the Tableau Blueprint Planner,Hands-on Training,Data Culture,No categories,male
Evgenia Stancheva,Amp Up Your Vizzes: Impactful Dashboard Design,Session,Dashboard and Design,No categories,female
Fu Hua Shih,Amp Up Your Vizzes: Impactful Dashboard Design,Session,Dashboard and Design,No categories,andy
Jeff Pettiross,The Other Geeks: Reaching the Experts who aren't Data Nerds,Session,Data and Analytics Skills,No categories,male
Brook Weatherly,Norwegian Cruise Line: Who needs Desktop when you have Web Authoring?  Our Journey to Web Nirvana.,Session,Embedded Analytics & Data Culture,No categories,mostly_female
Jessica Ramirez,Norwegian Cruise Line: Who needs Desktop when you have Web Authoring?  Our Journey to Web Nirvana.,Session,Embedded Analytics & Data Culture,No categories,female
Jesse McConnell,Comcast: Doubling Down on Tableau,Session,Tableau at Scale,No categories,male
Thomas O'Hara,Comcast: Doubling Down on Tableau,Session,Tableau at Scale,No categories,male
Kevin Hulbert,Tableau Server Security in Depth: Hands-on,Hands-on Training,Tableau at Scale,No categories,male
Lee Bond-Kennedy,Tableau Server on AWS: Tips and Tricks,Session,Tableau at Scale,No categories,mostly_male
Gerard Valerio,Think Outside the Box(plot): Basic Statistics in Tableau,Hands-on Training,Data and Analytics Skills,No categories,male
Rob Barnhart,Your Swiss Army Knife for Administering Tableau Server,Hands-on Training,Tableau at Scale,No categories,male
Lauren Kearney,Your Swiss Army Knife for Administering Tableau Server,Hands-on Training,Tableau at Scale,No categories,mostly_female
Esther Schenau,Get More REST: Automate Your Tableau Life with APIs,Hands-on Training,Embedded Analytics & Tableau Community,No categories,female
Matthew Platt,Get More REST: Automate Your Tableau Life with APIs,Hands-on Training,Embedded Analytics & Tableau Community,No categories,male
Ross Helenius,iVantage Health Analytics: Creating an Embedded Application Powered by Tableau,Session,Embedded Analytics,Healthcare,male
Justin Russell,iVantage Health Analytics: Creating an Embedded Application Powered by Tableau,Session,Embedded Analytics,Healthcare,male
Hideyuki Katsumoto,Rakuten: Case Study of fully Cashless Stadium Project for Japanese Professional Baseball team,Session,Data and Analytics Skills & Smart Analytics,No categories,male
Dennis Bromley,The Tableau Secret Lab: From Brainstorms to Features,Session,Tableau Community,No categories,male
Alicino Moura,The Imperial March: Deploying Tableau on Linux,Hands-on Training,Tableau at Scale,No categories,unknown
Josh Davis,The Imperial March: Deploying Tableau on Linux,Hands-on Training,Tableau at Scale,No categories,male
Casey Berger,"Data Integration: Blending Versus Cross-Database Joins, Part 1",Hands-on Training,Data Management,No categories,andy
Richard Durval,"Data Integration: Blending Versus Cross-Database Joins, Part 1",Hands-on Training,Data Management,No categories,male
Matthew Battistella,Leveraging Tableau to Create a Culture of Data Analysis on the Trading Floor at Bank Of America,Session,Data Culture,No categories,male
Kirupakaran Seshachalam,Leveraging Tableau to Create a Culture of Data Analysis on the Trading Floor at Bank Of America,Session,Data Culture,No categories,male
Lauren Cziok,Accenture: Data Donuts Power Today's Police Force,Session,Tableau at Scale,Public Sector,mostly_female
Greg Kauper,Accenture: Data Donuts Power Today's Police Force,Session,Tableau at Scale,Public Sector,male
Michael Raper,Center for Creative Leadership: Put that Wide Data on a Diet!,Session,Data Management,Finance,male
Braxton Ehle,Securing Tableau Online: Protecting Data as a Service,Session,Tableau at Scale,No categories,male
Robert Kincaid,Recommendation Systems at Tableau,Session,Smart Analytics,No categories,male
Mya Warren,Recommendation Systems at Tableau,Session,Smart Analytics,No categories,female
Beth Sandor,Community Solutions: How Communities are using Data to Drive System Performance,Session,Embedded Analytics,No categories,female
Jake Maguire,Community Solutions: How Communities are using Data to Drive System Performance,Session,Embedded Analytics,No categories,male
Casey O'Donnell,Get your FIX with this Level of Detail Session!,Hands-on Training,Data and Analytics Skills,No categories,andy
Oliver Inca,Get your FIX with this Level of Detail Session!,Hands-on Training,Data and Analytics Skills,No categories,male
Matthew Flaherty,Naval Air Systems Command: Maximizing Mission Capability with Tableau,Session,Embedded Analytics & Data Culture,Public Sector,male
Noha Elprince,Manulife: Securing your Data Access with Governance,Session,Tableau at Scale & Data and Analytics Skills,Financial Services,female
Allan Ma,Manulife: Securing your Data Access with Governance,Session,Tableau at Scale & Data and Analytics Skills,Financial Services,male
Steve Holden,Fannie Mae: Driving Analytics Deep into our Business,Session,Tableau at Scale,Financial Services & Public Sector,male
Chetna Bail,Dropbox and Metric Insights: Learn how Dropbox Drives User Engagement with BI Across Their Organization,Session,No theme,No categories,unknown
Ravi Poruri,Dropbox and Metric Insights: Learn how Dropbox Drives User Engagement with BI Across Their Organization,Session,No theme,No categories,mostly_male
Jonathan Varkovitzky,Tuning Tableau Server: Performance Best Practices,Session,Tableau at Scale,No categories,male
Evan Slotnick,Tableau Online Admin Experience: All the Flexibility Without the Headache,Session,Tableau at Scale,No categories,male
Jesse Sturges,First-time Deployment: Tableau Server on AWS,Hands-on Training,Tableau at Scale,No categories,male
Nicolas Fuentes,First-time Deployment: Tableau Server on AWS,Hands-on Training,Tableau at Scale,No categories,male
Maureen Reilly,The Creator's Field Guide: How Tableau Professional Services Delivers,Session,Data and Analytics Skills,No categories,female
Ben Porter,The Creator's Field Guide: How Tableau Professional Services Delivers,Session,Data and Analytics Skills,No categories,male
Angel Certeza,Top of the Table: Winning with Table Calcs,Hands-on Training,Data and Analytics Skills,No categories,male
Katherine Mace,Top of the Table: Winning with Table Calcs,Hands-on Training,Data and Analytics Skills,No categories,female
Andy Vadul,Skill Belt for Analytics Proficiency: Gamified Continuous Learning for Large Enterprise Teams,Session,Data Culture,No categories,male
Jeff El-Koury,Skill Belt for Analytics Proficiency: Gamified Continuous Learning for Large Enterprise Teams,Session,Data Culture,No categories,male
Paul Isaacs,Tableau in Motion: Tableau’s New Native Viz Animations,Session,Dashboard and Design,No categories,male
Phil Naranjo,Tableau in Motion: Tableau’s New Native Viz Animations,Session,Dashboard and Design,No categories,male
Adam Cook,A Practical Guide to Guided Analytics,Session,Dashboard and Design,No categories,male
Ken Flerlage,"Zen Master: The ""Tableau Twins"" Take You Beyond Show Me",Session,Dashboard and Design,No categories,male
Kevin Flerlage,"Zen Master: The ""Tableau Twins"" Take You Beyond Show Me",Session,Dashboard and Design,No categories,male
Lucas Whaley,How a “one-person team” built an impactful reporting analytics platform from the ground up (and achieved 2X growth),Session,No theme,No categories,male
Erik Teutsch,"On the Road: Tableau Mobile Use Cases, Design and Successful Adoption",Session,Embedded Analytics,No categories,male
Fearghal Gunning,Tableau on Mobile,Hands-on Training,Dashboard and Design,No categories,male
Jerrod Travlee,Go with the Flow: Tableau Prep for Beginners,Hands-on Training,Data Management,No categories,male
Lily Assefi,Go with the Flow: Tableau Prep for Beginners,Hands-on Training,Data Management,No categories,female
John Kew,Data Science at Home: Amateur Rose Hybridization,Session,Data Management,No categories,male
Kelvin Liu,"Guiding and Informing with Text, Labels, Tooltips, etc.",Session,Dashboard and Design,No categories,male
Robert Kosara,"Guiding and Informing with Text, Labels, Tooltips, etc.",Session,Dashboard and Design,No categories,male
Ridhima Gupta,Dashboard Design with the User in Mind,Session,Dashboard and Design,No categories,unknown
"Barry Chaiken, MD, MPH","Saving Lives, a Viz at a Time",Session,Data Culture,Healthcare,male
Matt McWhorter,"Saving Lives, a Viz at a Time",Session,Data Culture,Healthcare,male
Nicolas Gousakoff,Facebook: A Governance Journey Inspired by Our Values,Session,Tableau at Scale & Data Culture,No categories,male
JP Loose,Facebook: A Governance Journey Inspired by Our Values,Session,Tableau at Scale & Data Culture,No categories,unknown
Chantilly Jaggernauth,Zen Master: Design Secrets for a Non-Designer,Session,Dashboard and Design,No categories,unknown
Hannah Judge,Location Data Anywhere and Everywhere Powered by Mapbox,Session,Data and Analytics Skills,No categories,female
Brett Hurt,The Roadmap to Beautiful and Meaningful Data,Session,Data Management & Data Culture,No categories,male
Michael Lucas,Explain Data,Hands-on Training,Smart Analytics,No categories,male
Matt Ramsey,Explain Data,Hands-on Training,Smart Analytics,No categories,male
Guilherme  Diniz de Azevedo ,Grupo Pão de Açucar: Using Data to Become the Epitome of Green Retail in Brazil,Session,Tableau Community,Retail,male
Eduardo Denser Nicácio,Grupo Pão de Açucar: Using Data to Become the Epitome of Green Retail in Brazil,Session,Tableau Community,Retail,male
Zac Woodall,"On the Road: Tableau Mobile Use Cases, Design and Successful Adoption",Session,Embedded Analytics,No categories,unknown
Steven Mostello,Developer Platform Overview (for Tableau Partners only),Session,Embedded Analytics,No categories,male
Prateek Jetly,Tableau Online Architecture and Scalability,Session,Tableau at Scale,No categories,unknown
Kitty  Chou,Tableau Online Architecture and Scalability,Session,Tableau at Scale,No categories,female
Carlton Findley,Optimizing Tableau Server for High Availability,Session,Tableau at Scale,No categories,male
Dan Scott,Optimizing Tableau Server for High Availability,Session,Tableau at Scale,No categories,male
Bridget Cogley,JSON Doesn’t Need Remind You of Friday the 13th,Session,Data and Analytics Skills & Data Management,No categories,female
